from,to,Δs²,relation,cost
ev_2,ev_23,-439.7653668647302,timelike-irreversible,20.970583369680735
ev_2,ev_24,-482.66055812391033,timelike-irreversible,21.969537048465778
ev_2,ev_25,-527.5536710228497,timelike-irreversible,22.968536545083793
ev_2,ev_26,-574.4450418679126,timelike-irreversible,23.967583146156237
ev_2,ev_27,-623.3350124466094,timelike-irreversible,24.96667804187432
ev_2,ev_28,-674.2239289522066,timelike-irreversible,25.965822323820337
ev_2,ev_29,-727.1121408944744,timelike-irreversible,26.96501698301847
ev_2,ev_30,-782.0,timelike-irreversible,27.964262908219126
ev_2,ev_31,-838.8878591055256,timelike-irreversible,28.96356088442037
ev_2,ev_32,-897.7760710477934,timelike-irreversible,29.962911591629297
ev_2,ev_33,-958.6649875533906,timelike-irreversible,30.962315603865783
ev_2,ev_34,-1021.5549581320874,timelike-irreversible,31.961773388410215
ev_2,ev_35,-1086.4463289771502,timelike-irreversible,32.96128530529643
ev_2,ev_36,-1153.3394418760897,timelike-irreversible,33.96085160705028
ev_2,ev_37,-1222.2346331352699,timelike-irreversible,34.96047243867379
ev_2,ev_38,-1293.1322325217648,timelike-irreversible,35.960147837874146
ev_2,ev_39,-1366.0325622257897,timelike-irreversible,36.95987773553627
ev_2,ev_40,-1440.9359358469692,timelike-irreversible,37.95966195643698
ev_2,ev_41,-1517.8426574076404,timelike-irreversible,38.959500220198414
ev_2,ev_42,-1596.7530203962826,timelike-irreversible,39.95939214247738
ev_2,ev_43,-1677.667306844096,timelike-irreversible,40.95933723638721
ev_2,ev_44,-1760.585786437627,timelike-irreversible,41.95933491414785
ev_2,ev_45,-1845.5087156702336,timelike-irreversible,42.95938448895926
ev_2,ev_46,-1932.436337035064,timelike-irreversible,43.95948517709306
ev_2,ev_47,-2021.3688782620816,timelike-irreversible,44.95963610019638
ev_2,ev_48,-2112.3065516015436,timelike-irreversible,45.95983628780181
ev_2,ev_49,-2205.2495531561826,timelike-irreversible,46.96008468003633
ev_2,ev_50,-2300.198062264195,timelike-irreversible,47.96038013052227
ev_2,ev_51,-2397.1522409349777,timelike-irreversible,48.96072140946227
ev_2,ev_52,-2496.1122333393832,timelike-irreversible,49.96110720690028
ev_2,ev_53,-2597.07816535611,timelike-irreversible,50.96153613614988
ev_2,ev_54,-2700.0501441756364,timelike-irreversible,51.962006737381074
ev_2,ev_55,-2805.0282579629634,timelike-irreversible,52.96251748135622
ev_2,ev_56,-2912.0125755802133,timelike-irreversible,53.963066773305364
ev_2,ev_57,-3021.0031463699643,timelike-irreversible,54.96365295693113
ev_2,ev_58,-3132.0,timelike-irreversible,55.96427431853289
ev_2,ev_59,-3245.0031463699643,timelike-irreversible,56.964929091239675
ev_2,ev_60,-3360.0125755802137,timelike-irreversible,57.96561545934119
ev_2,ev_61,-3477.028257962964,timelike-irreversible,58.96633156270588
ev_2,ev_62,-3596.050144175636,timelike-irreversible,59.96707550127516
ev_2,ev_63,-3717.07816535611,timelike-irreversible,60.96784533962234
ev_2,ev_64,-3840.1122333393832,timelike-irreversible,61.968639111565
ev_2,ev_65,-3965.1522409349773,timelike-irreversible,62.96945482481945
ev_2,ev_66,-4092.198062264195,timelike-irreversible,63.97029046568567
ev_2,ev_67,-4221.249553156183,timelike-irreversible,64.97114400375125
ev_2,ev_68,-4352.306551601543,timelike-irreversible,65.97201339660283
ev_2,ev_69,-4485.368878262082,timelike-irreversible,66.97289659453354
ev_2,ev_70,-4620.436337035064,timelike-irreversible,67.97379154523502
ev_2,ev_71,-4757.508715670234,timelike-irreversible,68.97469619846277
ev_2,ev_72,-4896.585786437627,timelike-irreversible,69.97560851066339
ev_2,ev_73,-5037.667306844096,timelike-irreversible,70.97652644955299
ev_2,ev_74,-5180.753020396283,timelike-irreversible,71.97744799863554
ev_2,ev_75,-5325.84265740764,timelike-irreversible,72.97837116165063
ev_2,ev_76,-5472.935935846969,timelike-irreversible,73.9792939669403
ev_2,ev_77,-5622.03256222579,timelike-irreversible,74.98021447172441
ev_2,ev_78,-5773.132232521765,timelike-irreversible,75.98113076627489
ev_2,ev_79,-5926.23463313527,timelike-irreversible,76.98204097797921
ev_2,ev_80,-6081.33944187609,timelike-irreversible,77.98294327528353
ev_2,ev_81,-6238.446328977151,timelike-irreversible,78.98383587150697
ev_2,ev_82,-6397.5549581320865,timelike-irreversible,79.98471702851793
ev_2,ev_83,-6558.66498755339,timelike-irreversible,80.98558506026484
ev_2,ev_84,-6721.776071047793,timelike-irreversible,81.98643833615284
ev_2,ev_85,-6886.887859105525,timelike-irreversible,82.98727528425985
ev_2,ev_86,-7054.0,timelike-irreversible,83.98809439438426
ev_2,ev_87,-7223.112140894475,timelike-irreversible,84.98889422091851
